"Data Source","World Development Indicators",

"Last Updated Date","2019-09-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Ethiopia","ETH","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","15.02952003479","15.861590385437","16.2753791809082","17.7330207824707","19.2299003601074","21.2517890930176","22.8312397003174","21.9561195373535","26.1236400604248","33.7634010314941","38.8564109802246","41.6383590698242","42.2387504577637","40.3140296936035","37.4300003051758","36.8820610046387","39.960018157959","40.7788505554199","39.0460090637207","35.1644401550293","31.4626007080078","25.1936206817627","21.6227893829346","25.4204597473145","29.0899295806885","34.9526481628418","40.3398284912109","49.9640808105469","49.4052581787109","54.4435386657715","60.2622413635254","63.4586715698242","64.8169021606445","67.7524719238281","79.0133972167969","83.3276519775391","89.1654663085938","94.8228530883789","93.5023574829102","91.7759628295898","94.5005722045898","94.5507507324219","","99.9232025146484","101.944229125977","","","",
"Ethiopia","ETH","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","48.4998512268066","47.165641784668","44.3422088623047","46.1134300231934","46.0324211120605","44.3134994506836","44.9921989440918","39.6726493835449","47.3779411315918","59.0233993530273","63.9432182312012","62.7242012023926","59.2970008850098","53.560848236084","49.968448638916","48.0887985229492","48.2767105102539","49.3841285705566","43.2749786376953","40.6755409240723","36.0752410888672","30.170560836792","26.6104698181152","30.1526107788086","32.7528991699219","37.8978118896484","43.1980018615723","46.5148391723633","","67.3391265869141","","","","","","","","62.2829284667969","57.940601348877","54.058521270752","55.0692901611328","","","","","","","",
"Ethiopia","ETH","Primary education, pupils (% female)","SE.PRM.ENRL.FE.ZS","","","","","","","","","","","","31.3804607391357","31.7294292449951","31.7657604217529","31.8902206420898","32.0245780944824","32.1867294311523","32.2840690612793","32.7752494812012","32.1443710327148","34.2003402709961","34.921028137207","35.6791381835938","36.7939682006836","37.507381439209","38.8149795532227","39.1025581359863","38.5248489379883","38.0354194641113","38.965690612793","39.4756393432617","39.7587013244629","41.8311195373535","40.7918815612793","38.2318496704102","37.0200614929199","36.0440406799316","35.6732788085938","36.6648216247559","37.6123085021973","39.2024917602539","40.572338104248","41.3717193603516","41.9273490905762","43.481990814209","45.0721092224121","46.0965003967285","46.5317993164063","46.9194183349609","47.5401916503906","47.4731292724609","47.4028091430664","47.6208801269531","","47.369571685791","47.1082305908203","","","",
"Ethiopia","ETH","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","655427","716729","762686","859831","959822","1084307","1176636","1143207","1377703","1811251","2130716","2374362","2511050","2497114","2407380","2448778","2736517","2884033","2855846","2662214","2466464","2063636","1855894","2283638","2722192","3380068","4007694","5092770","5167582","5847259","6650841","7213043","7623074","8269663","10019729","10971581","12174719","13379059","13570558","13635289","14297969","14532477","","15733276","16198047","","","",
"Ethiopia","ETH","Primary education, duration (years)","SE.PRM.DURS","","","","","","","","","","","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6",
"Ethiopia","ETH","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.41249","","","","24.63092","","","","","","","",
"Ethiopia","ETH","Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)","SE.PRM.CUAT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.72483","","","","37.27535","","","","","","","",
"Ethiopia","ETH","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.44858","","","","14.20702","","","","","","","",
"Ethiopia","ETH","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","18.0444202423096","","","","","24.5085506439209","23.9460906982422","22.7602291107178","","","","","14.0599298477173","13.9091997146606","14.8758001327515","","17.0708408355713","19.7238998413086","22.2084407806396","27.6031093597412","31.3692893981934","34.6468315124512","37.4512481689453","43.3268394470215","47.2271194458008","47.3595199584961","49.484619140625","51.3816184997559","57.7434310913086","52.6143989562988","50.3893013000488","","53.5444183349609","54.2818489074707","","","",
"Ethiopia","ETH","Primary completion rate, male (% of relevant age group)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","24.0195198059082","","","","","29.7047100067139","29.4196090698242","27.6856708526611","","","","","16.0551700592041","16.5170497894287","18.0067806243896","","","25.3619995117188","28.5709495544434","35.5225791931152","40.2644805908203","43.8533592224121","45.8111000061035","50.5631294250488","52.4034309387207","52.160961151123","52.8083992004395","52.6347999572754","59.786319732666","54.8748893737793","50.2234001159668","","53.932201385498","55.3880310058594","","","",
